Symbol,Company Name,Industry
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables
WIPRO,Wipro Ltd.,Information Technology
WOCKPHARMA,Wockhardt Ltd.,Healthcare
YESBANK,Yes Bank Ltd.,Financial Services
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication
ZENTEC,Zen Technologies Ltd.,Capital Goods
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods
ECLERX,eClerx Services Ltd.,Services
